state,year,blood_slides_tested,positive_cases,pf_cases,deaths,is_partial_year,year_clean,flag_positive_gt_tested,flag_pf_gt_positive,slide_positivity_rate,pf_percentage,case_fatality_rate,testing_intensity,positive_cases_lag1,cases_yoy_change_pct,positive_cases_roll2,per_capita_nsdp_rank,population_density_rank,literacy_rate_rank,imr_rank,rural_tele_density_rank,banking_access_rank,latrine_facility_rank,safe_water_rank,forest_cover_rank
Ladakh,2023,160.0,10.0,1.0,1.0,False,2023,False,False,6.25,10.0,10.0,0.6932409012131715,2.0,400.0,,,,,,,,,,
Ladakh,2024,247.0,9.0,1.0,0.0,False,2024,False,False,3.643724696356275,11.11111111111111,0.0,1.0701906412478337,10.0,-10.0,6.0,,,,,,,,,
Ladakh,2025,501.0,10.0,6.0,0.0,False,2025,False,False,1.996007984031936,60.0,0.0,2.170710571923744,9.0,11.11111111111111,9.5,,,,,,,,,
Ladakh,2026(upto June),244.0,4.0,1.0,0.0,True,2026,False,False,1.639344262295082,25.0,0.0,1.0571923743500866,,,,,,,,,,,,
Lakshadweep,2022,1893.0,0.0,0.0,0.0,False,2022,False,False,0.0,,,1.329167251790479,,,,,,,,,,,,
Lakshadweep,2023,1400.0,0.0,0.0,0.0,False,2023,False,False,0.0,,,0.9830080044937508,0.0,,,,,,,,,,,
Lakshadweep,2024,1455.0,1.0,1.0,0.0,False,2024,False,False,0.0687285223367697,100.0,0.0,1.0216261760988623,0.0,inf,0.0,,,,,,,,,
Lakshadweep,2025,2033.0,0.0,0.0,0.0,False,2025,False,False,0.0,,,1.427468052239854,1.0,-100.0,0.5,,,,,,,,,
Lakshadweep,2026(upto June),340.0,0.0,0.0,0.0,True,2026,False,False,0.0,,,0.2387305153770537,,,,,,,,,,,,
Madhya Pradesh,2022,11031117.0,3826.0,2452.0,0.0,False,2022,False,False,0.034683704288514,64.08782017773132,0.0,1.1606740529127495,,,,24.0,18.0,22.0,28.0,26.0,7.0,5.0,11.0,14.0
Madhya Pradesh,2023,11530451.0,3794.0,2625.0,0.0,False,2023,False,False,0.0329041769484992,69.18819188191881,0.0,1.213213067550808,3826.0,-0.836382645060115,,24.0,18.0,22.0,28.0,26.0,7.0,5.0,11.0,14.0
Madhya Pradesh,2024,11899664.0,3247.0,2041.0,0.0,False,2024,False,False,0.027286484727636,62.858022790267945,0.0,1.2520609874031745,3794.0,-14.417501317870322,3810.0,24.0,18.0,22.0,28.0,26.0,7.0,5.0,11.0,14.0
Madhya Pradesh,2025,9927398.0,2347.0,1333.0,0.0,False,2025,False,False,0.0236416430569218,56.795909671921606,0.0,1.0445427486208263,3247.0,-27.71789344009855,3520.5,24.0,18.0,22.0,28.0,26.0,7.0,5.0,11.0,14.0
Madhya Pradesh,2026(upto June),3131675.0,361.0,186.0,0.0,True,2026,False,False,0.0115273775216138,51.52354570637119,0.0,0.3295091435124417,,,,24.0,18.0,22.0,28.0,26.0,7.0,5.0,11.0,14.0
Maharashtra,2022,17353964.0,15451.0,8983.0,26.0,False,2022,False,False,0.0890344131173719,58.13863180376675,0.1682738981295709,0.8598183687649029,,,,4.0,12.0,7.0,7.0,9.0,21.0,12.0,14.0,9.0
Maharashtra,2023,18931780.0,16159.0,6297.0,19.0,False,2023,False,False,0.0853538336067712,38.96899560616375,0.117581533510737,0.9379927374181491,15451.0,4.582227687528316,,4.0,12.0,7.0,7.0,9.0,21.0,12.0,14.0,9.0
Maharashtra,2024,21623801.0,21078.0,8832.0,26.0,False,2024,False,False,0.0974759247923156,41.90150868203815,0.1233513616092608,1.0713714343487677,16159.0,30.44124017575345,15805.0,4.0,12.0,7.0,7.0,9.0,21.0,12.0,14.0,9.0
Maharashtra,2025,31619647.0,23821.0,9199.0,28.0,False,2025,False,False,0.075336071904914,38.61718651609924,0.1175433441081398,1.5666249684776374,21078.0,13.01356864977702,18618.5,4.0,12.0,7.0,7.0,9.0,21.0,12.0,14.0,9.0
Maharashtra,2026(upto June),11387261.0,5214.0,1117.0,0.0,True,2026,False,False,0.0457880081961764,21.423091676256234,0.0,0.5641924909905424,,,,4.0,12.0,7.0,7.0,9.0,21.0,12.0,14.0,9.0
Manipur,2022,170729.0,30.0,10.0,0.0,False,2022,False,False,0.0175717072085,33.33333333333333,0.0,1.2063863313571836,,,,27.0,23.0,11.0,2.0,13.0,1.0,26.0,3.0,25.0
Manipur,2023,77627.0,34.0,12.0,0.0,False,2023,False,False,0.0437991935795535,35.294117647058826,0.0,0.548519301022463,30.0,13.333333333333334,,27.0,23.0,11.0,2.0,13.0,1.0,26.0,3.0,25.0
Manipur,2024,148178.0,43.0,11.0,0.0,False,2024,False,False,0.0290191526407428,25.58139534883721,0.0,1.0470389553493828,34.0,26.47058823529412,32.0,27.0,23.0,11.0,2.0,13.0,1.0,26.0,3.0,25.0
Manipur,2025,209323.0,78.0,10.0,0.0,False,2025,False,False,0.0372629859117249,12.82051282051282,0.0,1.4790949753040186,43.0,81.3953488372093,38.5,27.0,23.0,11.0,2.0,13.0,1.0,26.0,3.0,25.0
Manipur,2026(upto June),101748.0,169.0,18.0,0.0,True,2026,False,False,0.1660966308920077,10.650887573964498,0.0,0.7189604369669519,,,,27.0,23.0,11.0,2.0,13.0,1.0,26.0,3.0,25.0
Meghalaya,2022,586579.0,479.0,446.0,8.0,False,2022,False,False,0.0816599298645195,93.1106471816284,1.670146137787056,0.9034858922696976,,,,18.0,22.0,18.0,24.0,13.0,3.0,16.0,2.0,26.0
Meghalaya,2023,662339.0,1755.0,1679.0,14.0,False,2023,False,False,0.2649700530996967,95.66951566951568,0.7977207977207977,1.020176212240839,479.0,266.3883089770355,,18.0,22.0,18.0,24.0,13.0,3.0,16.0,2.0,26.0
Meghalaya,2024,789799.0,673.0,602.0,4.0,False,2024,False,False,0.0852115538257202,89.45022288261517,0.5943536404160475,1.2164981259620866,1755.0,-61.65242165242165,1117.0,18.0,22.0,18.0,24.0,13.0,3.0,16.0,2.0,26.0
Meghalaya,2025,838217.0,418.0,355.0,2.0,False,2025,False,False,0.0498677550085479,84.92822966507177,0.4784688995215311,1.2910745767588492,673.0,-37.89004457652303,1214.0,18.0,22.0,18.0,24.0,13.0,3.0,16.0,2.0,26.0
Meghalaya,2026(upto June),369265.0,115.0,73.0,0.0,True,2026,False,False,0.0311429461227032,63.47826086956522,0.0,0.5687651927685271,,,,18.0,22.0,18.0,24.0,13.0,3.0,16.0,2.0,26.0
Mizoram,2022,461929.0,11156.0,8252.0,10.0,False,2022,False,False,2.4150897648772864,73.96916457511654,0.0896378630333452,1.487288809554627,,,,16.0,28.0,2.0,15.0,13.0,14.0,28.0,6.0,29.0
Mizoram,2023,367855.0,18077.0,11628.0,13.0,False,2023,False,False,4.914164548531351,64.32483266028656,0.0719145875974995,1.1843954915987465,11156.0,62.03836500537827,,16.0,28.0,2.0,15.0,13.0,14.0,28.0,6.0,29.0
Mizoram,2024,307934.0,16899.0,8950.0,7.0,False,2024,False,False,5.4878642826060124,52.96171371087046,0.0414225693828037,0.991465771322854,18077.0,-6.516568014604193,14616.5,16.0,28.0,2.0,15.0,13.0,14.0,28.0,6.0,29.0
Mizoram,2025,289387.0,9330.0,5490.0,6.0,False,2025,False,False,3.2240563674249363,58.842443729903536,0.0643086816720257,0.9317493526723476,16899.0,-44.78963252263448,17488.0,16.0,28.0,2.0,15.0,13.0,14.0,28.0,6.0,29.0
Mizoram,2026(upto June),125818.0,4663.0,2578.0,0.0,True,2026,False,False,3.706146974200829,55.286296375723786,0.0,0.4051005748514253,,,,16.0,28.0,2.0,15.0,13.0,14.0,28.0,6.0,29.0
