state,year,blood_slides_tested,positive_cases,pf_cases,deaths,is_partial_year,year_clean,flag_positive_gt_tested,flag_pf_gt_positive,slide_positivity_rate,pf_percentage,case_fatality_rate,testing_intensity,positive_cases_lag1,cases_yoy_change_pct,positive_cases_roll2
Himachal Pradesh,2026(upto June),151103.0,3.0,1.0,0.0,True,2026,False,False,0.0019854006869486377,33.33333333333333,0.0,0.6104096409682981,,,
Jammu And Kashmir,2022,450767.0,35.0,1.0,0.0,False,2022,False,False,0.0077645435446694186,2.857142857142857,0.0,1.1091647633797257,,,
Jammu And Kashmir,2023,485729.0,44.0,14.0,0.0,False,2023,False,False,0.009058549108659355,31.818181818181817,0.0,1.1951928409836363,35.0,25.71428571428571,
Jammu And Kashmir,2024,461482.0,108.0,21.0,0.0,False,2024,False,False,0.023402862950234245,19.444444444444446,0.0,1.1355302702593637,44.0,145.45454545454547,39.5
Jammu And Kashmir,2025,425359.0,127.0,20.0,0.0,False,2025,False,False,0.029857132445769336,15.748031496062993,0.0,1.0466454167817005,108.0,17.59259259259259,76.0
Jammu And Kashmir,2026(upto June),208674.0,28.0,10.0,0.0,True,2026,False,False,0.013418058790266158,35.714285714285715,0.0,0.5134667085955735,,,
Jharkhand,2022,9778246.0,19167.0,14963.0,4.0,False,2022,False,False,0.196016749834275,78.06646840924506,0.020869202274743048,1.536952047076515,,,
Jharkhand,2023,5731625.0,34087.0,28990.0,2.0,False,2023,False,False,0.5947179028634986,85.04708539912576,0.005867339454924164,0.9009011203875348,19167.0,77.84212448479157,
Jharkhand,2024,6127645.0,42352.0,35016.0,0.0,False,2024,False,False,0.691162755022525,82.67850396675482,0.0,0.9631478412905722,34087.0,24.24678029747411,26627.0
Jharkhand,2025,6978492.0,42236.0,32761.0,2.0,False,2025,False,False,0.6052310441854774,77.56653092148878,0.004735296903115826,1.0968846115046689,42352.0,-0.27389497544389874,38219.5
Jharkhand,2026(upto June),3194503.0,16727.0,12119.0,5.0,True,2026,False,False,0.5236182279371784,72.45172475638189,0.02989179171399534,0.5021143797407089,,,
Karnataka,2022,11573428.0,289.0,34.0,0.0,False,2022,False,False,0.002497099390085634,11.76470588235294,0.0,0.9268779227349245,,,
Karnataka,2023,13349842.0,275.0,61.0,2.0,False,2023,False,False,0.0020599494735593126,22.181818181818183,0.7272727272727273,1.0691450987382,289.0,-4.844290657439446,
Karnataka,2024,14657160.0,740.0,114.0,3.0,False,2024,False,False,0.005048727038525881,15.405405405405407,0.40540540540540543,1.1738439133153484,275.0,169.0909090909091,282.0
Karnataka,2025,15621201.0,694.0,208.0,1.0,False,2025,False,False,0.0044426801754871474,29.971181556195965,0.1440922190201729,1.251050797871186,740.0,-6.216216216216217,507.5
Karnataka,2026(upto June),7230690.0,199.0,38.0,0.0,True,2026,False,False,0.0027521578161973474,19.09547738693467,0.0,0.5790822673403413,,,
Kerala,2022,2576921.0,439.0,206.0,0.0,False,2022,False,False,0.017035834625896563,46.924829157175395,0.0,0.8862486177949597,,,
Kerala,2023,3076673.0,569.0,301.0,7.0,False,2023,False,False,0.01849400310010196,52.899824253075565,1.2302284710017575,1.0581221518459711,439.0,29.6127562642369,
Kerala,2024,3331487.0,954.0,494.0,6.0,False,2024,False,False,0.02863586140363147,51.78197064989518,0.628930817610063,1.1457571842333842,569.0,67.66256590509666,504.0
Kerala,2025,3762263.0,1144.0,568.0,2.0,False,2025,False,False,0.030407230967106767,49.65034965034965,0.17482517482517482,1.2939086543712897,954.0,19.91614255765199,761.5
Kerala,2026(upto June),1791020.0,457.0,252.0,2.0,True,2026,False,False,0.025516186307243914,55.14223194748359,0.437636761487965,0.6159633917543955,,,
Ladakh,2022,2.0,2.0,0.0,0.0,False,2022,False,False,100.0,0.0,0.0,0.008665511265164644,,,
Ladakh,2023,160.0,10.0,1.0,1.0,False,2023,False,False,6.25,10.0,10.0,0.6932409012131715,2.0,400.0,
Ladakh,2024,247.0,9.0,1.0,0.0,False,2024,False,False,3.643724696356275,11.11111111111111,0.0,1.0701906412478335,10.0,-10.0,6.0
Ladakh,2025,501.0,10.0,6.0,0.0,False,2025,False,False,1.996007984031936,60.0,0.0,2.1707105719237436,9.0,11.11111111111111,9.5
Ladakh,2026(upto June),244.0,4.0,1.0,0.0,True,2026,False,False,1.639344262295082,25.0,0.0,1.0571923743500866,,,
Lakshadweep,2022,1893.0,0.0,0.0,0.0,False,2022,False,False,0.0,,,1.329167251790479,,,
Lakshadweep,2023,1400.0,0.0,0.0,0.0,False,2023,False,False,0.0,,,0.9830080044937508,0.0,,
Lakshadweep,2024,1455.0,1.0,1.0,0.0,False,2024,False,False,0.06872852233676977,100.0,0.0,1.0216261760988625,0.0,inf,0.0
Lakshadweep,2025,2033.0,0.0,0.0,0.0,False,2025,False,False,0.0,,,1.427468052239854,1.0,-100.0,0.5
Lakshadweep,2026(upto June),340.0,0.0,0.0,0.0,True,2026,False,False,0.0,,,0.23873051537705378,,,
Madhya Pradesh,2022,11031117.0,3826.0,2452.0,0.0,False,2022,False,False,0.03468370428851403,64.08782017773132,0.0,1.1606740529127497,,,
Madhya Pradesh,2023,11530451.0,3794.0,2625.0,0.0,False,2023,False,False,0.03290417694849924,69.18819188191881,0.0,1.213213067550808,3826.0,-0.836382645060115,
Madhya Pradesh,2024,11899664.0,3247.0,2041.0,0.0,False,2024,False,False,0.027286484727636007,62.858022790267945,0.0,1.2520609874031743,3794.0,-14.417501317870322,3810.0
Madhya Pradesh,2025,9927398.0,2347.0,1333.0,0.0,False,2025,False,False,0.023641643056921863,56.795909671921606,0.0,1.0445427486208263,3247.0,-27.71789344009855,3520.5
Madhya Pradesh,2026(upto June),3131675.0,361.0,186.0,0.0,True,2026,False,False,0.011527377521613834,51.52354570637119,0.0,0.3295091435124417,,,
Maharashtra,2022,17353964.0,15451.0,8983.0,26.0,False,2022,False,False,0.08903441311737192,58.13863180376675,0.1682738981295709,0.8598183687649029,,,
Maharashtra,2023,18931780.0,16159.0,6297.0,19.0,False,2023,False,False,0.08535383360677125,38.968995606163745,0.11758153351073704,0.9379927374181491,15451.0,4.582227687528316,
Maharashtra,2024,21623801.0,21078.0,8832.0,26.0,False,2024,False,False,0.09747592479231566,41.90150868203815,0.12335136160926084,1.0713714343487677,16159.0,30.44124017575345,15805.0
Maharashtra,2025,31619647.0,23821.0,9199.0,28.0,False,2025,False,False,0.07533607190491405,38.61718651609924,0.11754334410813988,1.5666249684776374,21078.0,13.013568649777019,18618.5
Maharashtra,2026(upto June),11387261.0,5214.0,1117.0,0.0,True,2026,False,False,0.045788008196176413,21.423091676256234,0.0,0.5641924909905424,,,
Manipur,2022,170729.0,30.0,10.0,0.0,False,2022,False,False,0.017571707208500018,33.33333333333333,0.0,1.2063863313571836,,,
Manipur,2023,77627.0,34.0,12.0,0.0,False,2023,False,False,0.04379919357955351,35.294117647058826,0.0,0.548519301022463,30.0,13.333333333333334,
Manipur,2024,148178.0,43.0,11.0,0.0,False,2024,False,False,0.02901915264074289,25.581395348837212,0.0,1.0470389553493828,34.0,26.47058823529412,32.0
Manipur,2025,209323.0,78.0,10.0,0.0,False,2025,False,False,0.037262985911724944,12.82051282051282,0.0,1.4790949753040186,43.0,81.3953488372093,38.5
Manipur,2026(upto June),101748.0,169.0,18.0,0.0,True,2026,False,False,0.1660966308920077,10.650887573964498,0.0,0.7189604369669519,,,
Meghalaya,2022,586579.0,479.0,446.0,8.0,False,2022,False,False,0.08165992986451953,93.1106471816284,1.6701461377870561,0.9034858922696976,,,
Meghalaya,2023,662339.0,1755.0,1679.0,14.0,False,2023,False,False,0.2649700530996967,95.66951566951568,0.7977207977207977,1.020176212240839,479.0,266.3883089770355,
Meghalaya,2024,789799.0,673.0,602.0,4.0,False,2024,False,False,0.08521155382572021,89.45022288261517,0.5943536404160475,1.2164981259620866,1755.0,-61.65242165242165,1117.0
Meghalaya,2025,838217.0,418.0,355.0,2.0,False,2025,False,False,0.0498677550085479,84.92822966507177,0.4784688995215311,1.2910745767588492,673.0,-37.89004457652303,1214.0
Meghalaya,2026(upto June),369265.0,115.0,73.0,0.0,True,2026,False,False,0.03114294612270321,63.47826086956522,0.0,0.5687651927685271,,,
Mizoram,2022,461929.0,11156.0,8252.0,10.0,False,2022,False,False,2.4150897648772864,73.96916457511654,0.08963786303334528,1.487288809554627,,,
Mizoram,2023,367855.0,18077.0,11628.0,13.0,False,2023,False,False,4.9141645485313505,64.32483266028656,0.07191458759749958,1.1843954915987465,11156.0,62.03836500537827,
Mizoram,2024,307934.0,16899.0,8950.0,7.0,False,2024,False,False,5.4878642826060124,52.96171371087046,0.04142256938280372,0.9914657713228539,18077.0,-6.516568014604193,14616.5
Mizoram,2025,289387.0,9330.0,5490.0,6.0,False,2025,False,False,3.2240563674249363,58.842443729903536,0.06430868167202572,0.9317493526723476,16899.0,-44.78963252263448,17488.0
Mizoram,2026(upto June),125818.0,4663.0,2578.0,0.0,True,2026,False,False,3.7061469742008293,55.286296375723786,0.0,0.40510057485142537,,,
Nagaland,2022,258973.0,9.0,4.0,0.0,False,2022,False,False,0.003475265761295579,44.44444444444444,0.0,1.0930331497915422,,,
Nagaland,2023,249433.0,10.0,5.0,0.0,False,2023,False,False,0.004009092622066848,50.0,0.0,1.0527681945683673,9.0,11.11111111111111,
Nagaland,2024,306539.0,12.0,3.0,0.0,False,2024,False,False,0.0039146731737234085,25.0,0.0,1.2937923594504044,10.0,20.0,9.5
Nagaland,2025,256810.0,210.0,5.0,0.0,False,2025,False,False,0.08177251664654803,2.380952380952381,0.0,1.0839038942205017,12.0,1650.0,11.0
Nagaland,2026(upto June),112898.0,96.0,4.0,0.0,True,2026,False,False,0.08503250721890555,4.166666666666666,0.0,0.4765024019691842,,,
Odisha,2022,8160202.0,23770.0,19295.0,5.0,False,2022,False,False,0.29129180870767657,81.17374842238115,0.02103491796381994,0.9303469661361174,,,
Odisha,2023,9509933.0,41973.0,33684.0,4.0,False,2023,False,False,0.44135957635032763,80.25159030805517,0.009529935911180997,1.0842301838493393,23770.0,76.57972233908288,
Odisha,2024,10468801.0,68693.0,50501.0,8.0,False,2024,False,False,0.6561687436794338,73.51695223676357,0.011646019245046803,1.1935509990356554,41973.0,63.65997188668906,32871.5
